ANNEE;MOIS;Tarif;Nuits;Nuitées;Séjours;Revenue_HT
2025;FÉVRIER;Forfait Confort 2 pers (1 inst + élec 10A);143;257;61;2 470,00
2025;FÉVRIER;Forfait camping car 2 pers (Elec 10A);245;529;95;4 454,00
2026;FÉVRIER;Forfait Confort 2 pers (1 inst + élec 10A);169;339;47;3 540,93
2026;FÉVRIER;Forfait camping car 2 pers (Elec 10A);166;321;54;3 681,55
2026;FÉVRIER;Forfait Privilège 2 px (1 inst + Elec 10A + Eau);8;32;1;213,76
2024;FÉVRIER;Forfait Confort 2 pers (1 inst + élec 10A);97;178;23;1 763,00
2024;FÉVRIER;Forfait camping car 2 pers (Elec 10A);131;285;30;2 350,00
2023;FÉVRIER;Forfait Confort 2 pers (1 inst + élec 10A);80;133;30;1 163,37
2023;FÉVRIER;Forfait camping car 2 pers (Elec 10A);158;333;77;2 298,32
2025;MARS;Forfait Confort 2 pers (1 inst + élec 10A);296;529;105;5 113,36
2025;MARS;Forfait camping car 2 pers (Elec 10A);656;1303;258;11 939,31
2026;MARS;Forfait Confort 2 pers (1 inst + élec 10A);0;0;0;0,00
2026;MARS;Forfait camping car 2 pers (Elec 10A);0;0;0;0,00
2024;MARS;Forfait Confort 2 pers (1 inst + élec 10A);271;561;110;4 823,58
2024;MARS;Forfait camping car 2 pers (Elec 10A);306;612;127;5 577,05
2023;MARS;Forfait Confort 2 pers (1 inst + élec 10A);154;221;74;2 246,67
2023;MARS;Forfait camping car 2 pers (Elec 10A);303;613;123;4 416,58
2025;AVRIL;Forfait Confort 2 pers (1 inst + élec 10A);439;916;202;8 149,53
2025;AVRIL;Forfait Vélo / Rando (SOLO);9;15;9;81,81
2025;AVRIL;Forfait camping car 2 pers (Elec 10A);443;998;200;8 621,20
2025;AVRIL;Forfait ACSI;520;1079;194;8981,79
2025;AVRIL;Forfait Vélo / Rando (DUO);7;15;7;82,74
2025;AVRIL;Forfait Privilège 2 px (1 inst + Elec 10A + Eau);0;0;0;0
2026;AVRIL;Forfait Confort 2 pers (1 inst + élec 10A);;;;
2026;AVRIL;Forfait Vélo / Rando (SOLO);;;;
2026;AVRIL;Forfait camping car 2 pers (Elec 10A);;;;
2026;AVRIL;Forfait ACSI;;;;
2026;AVRIL;Forfait Vélo / Rando (DUO);;;;
2026;AVRIL;Forfait Privilège 2 px (1 inst + Elec 10A + Eau);;;;
2024;AVRIL;Forfait Confort 2 pers (1 inst + élec 10A);345;752;180;6 480,61
2024;AVRIL;Forfait Vélo / Rando (SOLO);28;30;21;254,53
2024;AVRIL;Forfait camping car 2 pers (Elec 10A);257;550;104;4 968,73
2024;AVRIL;Forfait ACSI;452;943;173;7 807,28
2024;AVRIL;Forfait Vélo / Rando (DUO);15;30;15;177,30
